time,prediction
1,0.380119293
2,0.349924266
3,0.345653752
4,0.302993508
5,0.397147214
6,0.379563419
7,0.392356303
8,0.402228162
9,0.408054007
10,0.529979155
11,0.385461102
12,0.381739587
13,0.410771914
14,0.339094205
15,0.388839292
16,0.376680024
17,0.361525644
18,0.469294338
19,0.395620641
20,0.444691011
21,0.393898347
22,0.393619237
23,0.416522164
24,0.405921341
25,0.42517911
26,0.406631417
27,0.35487707
28,0.338660982
29,0.331992645
30,0.350490845
31,0.346319725
32,0.346325666
33,0.371528349
34,0.388127174
35,0.414024129
36,0.42699781
37,0.437514792
38,0.457401405
39,0.396432617
40,0.421422798
41,0.503595144
42,0.37370901
43,0.517893182
44,0.499755851
45,0.471478128
46,0.400788946
47,0.367991395
48,0.387240493
49,0.417221415
50,0.452038274
51,0.537764776
52,0.38674904
53,0.383688743
54,0.466795905
55,0.493432167
56,0.421278993
57,0.369004959
58,0.406279154
59,0.347599193
60,0.392926984
61,0.498770289
62,0.553109968
63,0.685429308
64,0.670502375
65,0.569971314
66,0.546120765
67,0.450400628
68,0.504738852
69,0.561536263
70,0.573393874
71,0.540367125
72,0.564522234
73,0.727454666
74,0.696081679
75,0.584952788
76,0.612801612
77,0.617251719
78,0.596945943
79,0.547193132
80,0.586073245
81,0.561638213
82,0.582006749
83,0.587452818
84,0.52653561
85,0.627383725
86,0.629291354
87,0.578420486
88,0.604978586
89,0.626360377
90,0.682767048
91,0.597811003
92,0.620283443
93,0.587996075
94,0.558855226
95,0.54806925
96,0.544224877
97,0.621917934
98,0.614469219
99,0.620241993
100,0.547217551
101,0.668203786
102,0.682517778
103,0.602529974
104,0.668904005
105,0.684786994
106,0.720818778
107,0.607898096
108,0.590987307
109,0.646991631
110,0.618751632
111,0.573748915
112,0.660336098
113,0.593309137
114,0.639597029
115,0.698172228
116,0.614416741
117,0.573994413
118,0.61585644
119,0.728942668
120,0.659374141
121,0.598649144
122,0.590444349
123,0.635448253
124,0.645229449
125,0.681220828
126,0.594820774
127,0.618657351
128,0.628421215
129,0.780308956
130,0.627928503
131,0.731477143
132,0.628132569
133,0.725336408
134,0.680823555
135,0.655653356
136,0.666100512
137,0.681053087
138,0.720269514
139,0.68865151
140,0.665305046
141,0.697928064
142,0.682489957
143,0.807476101
144,0.799556568
145,0.756626101
146,0.718781373
147,0.776069764
148,0.742285731
149,0.735429791
150,0.718971974
151,0.666007215
152,0.614746281
153,0.689031356
154,0.726430189
155,0.594515818
156,0.650405201
157,0.704363081
158,0.608478184
159,0.655135858
160,0.717624502
161,0.589234864
162,0.754807152
163,0.622177671
164,0.687087907
165,0.556522321
166,0.63525085
167,0.621879922
168,0.63522932
169,0.640865792
170,0.648903036
171,0.705291701
172,0.647821201
173,0.659922839
174,0.350490845
175,0.346319725
176,0.346325666
177,0.371528349
178,0.388127174
179,0.414024129
180,0.42699781
181,0.437514792
182,0.457401405
183,0.396432617
184,0.421422798
185,0.503595144
186,0.37370901
187,0.517893182
188,0.499755851
189,0.471478128
190,0.400788946
191,0.367991395
192,0.387240493
193,0.417221415
194,0.452038274
195,0.537764776
196,0.38674904
197,0.383688743
198,0.466795905
199,0.493432167
200,0.421278993
201,0.369004959
202,0.406279154
203,0.347599193
204,0.392926984
205,0.498770289
206,0.553109968
207,0.685429308
208,0.670502375
209,0.569971314
210,0.546120765
211,0.450400628
212,0.504738852
213,0.561536263
214,0.573393874
215,0.540367125
216,0.564522234
217,0.727454666
218,0.696081679
219,0.584952788
220,0.612801612
